"$wgCityId","URL","$wgSitename","$wgContentLanguage","Date of creation","Founder name","WAC Project - PVT","ARC/WAC Project - WR/IVT","Remarks"
"","https://nuke.wikia.org/zh","核能流言終結者維基","zh-tw","2014-03-10 06:44:19","Aaronliu0719","","",""
"","https://wikiteamwork.wikia.org/zh","WikiTeamWork","zh-tw","2008-09-24 16:13:50","Paul Ou","","",""
"","https://pharmacy.wikia.org/zh-tw","藥學共筆","zh-tw","2008-09-14 15:05:16","Shiun0323","","",""
"","https://tamsui.wikia.org","開放淡水","zh-tw","2007-04-23 05:03:42","Anonymous 4576737456","","",""
"","https://twtongzhi.wikia.org","台灣同志運動","zh-tw","2006-09-04 09:16:17","Anonymous 4576737456","","",""
"","https://malware.wikia.org/zh","Malware Wiki 中文","zh","2017-01-07 19:27:32","Deep-Fried Derp of Illuminati","","",""
"","https://the-encyclopedia-of-examinations-in-hong-kong.wikia.org/zh","香港考試大典 Wiki","zh","2016-06-11 16:12:24","HKexam","","",""
"","https://googology.wikia.org/zh","大數學 维基","zh","2015-02-24 18:57:00","Khankao1","","",""
"","https://internetpedia.wikia.org/zh","網路百科","zh","2012-08-07 07:19:42","Msnhinet8","","",""
"","https://math.wikia.org/zh","中文数学 Wiki","zh","2010-06-13 09:45:56","K1234567890y","","",""
"","https://taigi-pahkho.wikia.org","zh","zh","2010-02-04 12:28:55","Ianbu","","",""
"","https://gravity.wikia.org/zh","Gravity, 重力","zh","2009-02-24 11:24:05","PauloHelene","","",""
"","https://christian.wikia.org/zh","中文基督教大典","zh","2008-09-12 17:16:35","Paul Ou","","",""
"","https://green.wikia.org/zh","綠色Wikia","zh","2008-09-12 03:10:58","KaurJmeb","","",""
"","https://college.wikia.org/zh","College","zh","2006-05-18 01:01:44","Anonymous 4576737456","","",""
