"$wgCityId","URL","$wgSitename","$wgContentLanguage","Date of creation","Founder name","WAC Project - PVT","ARC/WAC Project - WR/IVT","Remarks"
"","https://dancingline.fandom.com/zh","跳舞的线 Wiki","zh","2022-09-12 13:51:22","PakcReed","","",""
"","https://yfgdui.fandom.com/zh","Yfgdui Wiki","zh","2022-09-12 13:20:21","Hankdeath","","",""
"","https://tgebhf.fandom.com/zh","Tgebhf Wiki","zh","2022-09-12 13:19:25","Hankdeath","","",""
"","https://aaa.fandom.com/zh","8年8班人物介绍 Wiki","zh","2022-09-12 09:15:12","Xingshizhilu","","",""
"","https://shenyuan.fandom.com/zh","深渊 Wiki","zh","2022-09-12 08:45:01","古月清","","",""
"","https://zydx.fandom.com/zh","Zydx 战争帝国 Wiki","zh","2022-09-12 07:36:10","Yian79P","","",""
"","https://yangoacardemy.fandom.com/zh","阳光书院室 Wiki","zh","2022-09-12 06:33:45","Ygcmyadmn","","",""
"","https://full-fire.fandom.com/zh","Mindustry Full-Fire Wiki","zh","2022-09-12 03:45:16","ConanMC2021","","",""
"","https://mengbaientryshelter.fandom.com/zh","萌百非官方条目收容所 Wiki","zh","2022-09-11 17:13:13","Mrxiangsu","","",""
"","https://lycoris-recoil.fandom.com/zh","莉可丽丝 Wiki","zh","2022-09-11 17:04:43","Adaihappyjan","","",""
"","https://augustmc.fandom.com/zh","奥格斯格MC Wiki","zh","2022-09-11 15:06:58","Antonin-Noah","","",""
"","https://countries.fandom.com/zh","國家及地區 Wiki","zh","2022-09-11 09:41:29","NCui20","","",""
"","https://monikadesign.fandom.com/zh","MonikaDesign Wiki","zh","2022-09-11 08:38:05","JsutMonika","","",""
"","https://dreamcountry.fandom.com/zh","DreamCountry服务器 Wiki","zh","2022-09-11 07:53:10","BaiHengInk","","",""
"","https://backrooms-level.fandom.com/zh","Backrooms level Wiki","zh","2022-09-11 07:34:16","Xuhongru","","",""
"","https://hfclanguage.fandom.com/zh","HFClanguage Wiki","zh","2022-09-11 06:42:31","Moyastudio2022","","",""
"","https://svencoop.fandom.com/zh","Sven co-op中文 Wiki","zh","2022-09-11 01:12:55","HLGORDON132","","",""
"","https://qxserver.fandom.com/zh","MCBEqxserver服务器 Wiki","zh","2022-09-11 00:52:58","LiuchengRailTransit","","",""
"","https://mo111397.fandom.com/zh","MO111397 Wiki","zh","2022-09-10 18:22:30","MO11397","","",""
"","https://thestarsabovemod.fandom.com/zh","TheStarsAbovemod Wiki","zh","2022-09-10 15:09:33","Komeiji koyomi","","",""
"","https://falmi.fandom.com/zh","Falmi Wiki","zh","2022-09-10 15:06:50","Unaous","","",""
"","https://companies00.fandom.com/zh","新兴企业 Wiki","zh","2022-09-10 14:55:21","Anduin Menethil","","",""
"","https://frxy.fandom.com/zh","非人学院 Wiki","zh","2022-09-10 12:56:16","小麟小朱","","",""
"","https://minecraftearth.fandom.com/zh","Minecraft Earth Wiki","zh","2022-09-10 12:44:53","Minecraft Earth Wiki","","",""
"","https://midrooms.fandom.com/zh","Midrooms Wiki","zh","2022-09-10 11:44:49","DFGHN","","",""
"","https://fakehistory.fandom.com/zh","FakeHistory Wiki","zh","2022-09-10 09:35:19","XiaoYi Zero","","",""
"","https://irrigation.fandom.com/zh","Irrigation Wiki","zh","2022-09-10 09:11:36","Gcgc2012","","",""
"","https://frontrooms.fandom.com/zh","Frontrooms Wiki","zh","2022-09-10 08:14:35","DFGHN","","",""
"","https://biological-transformation-laboratory.fandom.com/zh","Biological Transformation Laboratory Wiki","zh","2022-09-10 05:41:14","Invalid-A-0809-04C","","",""
"","https://zhaomingyi.fandom.com/zh","超理学 Wiki","zh","2022-09-10 05:11:27","O8P2Sr3","","",""
"","https://baichuan.fandom.com/zh","白川联邦 Wiki","zh","2022-09-10 04:39:15","Zhanti666","","",""
"","https://chickenrooms.fandom.com/zh","Chickenrooms Wiki","zh","2022-09-10 02:36:28","LZBCR1","","",""
"","https://lexikia.fandom.com/zh","Sino-kia-anglo-词典 Wiki","zh","2022-09-09 15:53:34","MistiaLorrelay","","",""
"","https://faicleis.fandom.com/zh","Faicleis Wiki","zh","2022-09-09 14:44:38","HELLTY","","",""
"","https://jolin.fandom.com/zh","Jolin Wiki","zh","2022-09-09 14:36:20","Salteddr3","","",""
"","https://kiverooms.fandom.com/zh","Kiverooms Wiki","zh","2022-09-09 14:18:04","HELLTY","","",""
"","https://drivers.fandom.com/zh","Driver Wiki","zh","2022-09-09 14:08:49","我盗我自己的墓","","",""
"","https://7-days-salvation.fandom.com/zh","7 Days : Salvation Wiki","zh","2022-09-09 07:00:01","SalvaToryKen","","",""
"","https://shllv.fandom.com/zh","重型运载火箭 Wiki","zh","2022-09-09 06:59:32","Culesion","","",""
"","https://jntm114514.fandom.com/zh","练习编辑用 Wiki","zh","2022-09-09 02:25:33","Asri damedana","","",""
"","https://nextlock.fandom.com/zh","锁基百科 Wiki","zh","2022-09-08 15:19:28","LanmeiCN","","",""
"","https://lingsan.fandom.com/zh","零散宇宙 Wiki","zh","2022-09-08 11:56:33","Dr.awa","","",""
"","https://webstem.fandom.com/zh","网络时代梗 Wiki","zh","2022-09-08 11:49:40","B10112","","",""
"","https://anww.fandom.com/zh","AnW_W Wiki","zh","2022-09-08 10:28:43","Karis111","","",""
"","https://moratin.fandom.com/zh","骑警Morlatin Wiki","zh","2022-09-08 09:45:15","Morlatin","","",""
"","https://umei.fandom.com/zh","UMEi Wiki","zh","2022-09-08 09:12:52","Kirajackie","","",""
"","https://forbsea.fandom.com/zh","Forbidden Sea Wiki","zh","2022-09-08 02:08:57","焉故余.","","",""
"","https://kmd.fandom.com/zh","空濛 Wiki","zh","2022-09-07 23:31:21","Apsy666","","",""
"","https://commander.fandom.com/zh","指挥与策略 Wiki","zh","2022-09-07 13:11:37","MSRvJames","","",""
"","https://shsid.fandom.com/zh","SHSID Wiki","zh","2022-09-07 11:18:59","Ocillus","","",""
"","https://entelecheiamundus.fandom.com/zh","隐德来希世界 Wiki","zh","2022-09-07 10:37:58","Vulgar Bones","","",""
"","https://quanshici.fandom.com/zh","诗词 Wiki","zh","2022-09-07 08:36:28","Zhima666","","",""
"","https://whatthegodhasseen.fandom.com/zh","神明所曾注视的 Wiki","zh","2022-09-07 08:30:23","Ddsffasdsxzfx","","",""
"","https://minecraft-fluoriteet.fandom.com/zh","Minecraft fluoriteET Wiki","zh","2022-09-07 08:30:11","BaiYinmc","","",""
"","https://dreamlands.fandom.com/zh","Dreamlands Wiki","zh","2022-09-06 18:56:19","ZEKE ALARIC","","",""
"","https://guwtfs.fandom.com/zh","Get Up Wars Wiki","zh","2022-09-06 13:29:34","TNTfish4188","","",""
"","https://miraibot.fandom.com/zh","MiraiBot Wiki","zh","2022-09-06 11:30:48","GxStudio","","",""
"","https://fistful-of-frags.fandom.com/zh","Fistful of Frags 中文 Wiki","zh","2022-09-06 09:23:20","BackClip","","",""
"","https://ti4.fandom.com/zh","星际帝国曙光 Wiki","zh","2022-09-06 08:15:29","The-william-li","","",""
"","https://alllib.fandom.com/zh","全能图书馆 Wiki","zh","2022-09-06 05:42:46","Gongxiang01","","",""
"","https://233site.fandom.com/zh","233's Site Wiki","zh","2022-09-06 03:15:33","233QWQ","","",""
"","https://edrowsiness.fandom.com/zh","Trash bin Wiki","zh","2022-09-06 03:12:26","EDrowsiness","","",""
"","https://skins7355608.fandom.com/zh","Csgo饰品百科 Wiki","zh","2022-09-06 02:55:58","Ebn2335","","",""
"","https://shuonaurora.fandom.com/zh","Shu Wiki","zh","2022-09-06 02:28:12","LeafHyphae","","",""
"","https://pastaland.fandom.com/zh","Pastaland Wiki","zh","2022-09-06 00:57:14","LiaoPoi","","",""
"","https://bpd.fandom.com/zh","白嫖党 Wiki","zh","2022-09-05 11:46:54","Bpd xiodid","","",""
"","https://http.fandom.com/zh","喰种 Wiki","zh","2022-09-05 10:00:37","喰种","","",""
"","https://world-skyline.fandom.com/zh","World Skyline Wiki","zh","2022-09-05 09:07:18","IvanXu20070715","","",""
"","https://teamlizi.fandom.com/zh","Minecraft离子团队 Wiki","zh","2022-09-05 08:06:18","MCHSH1013","","",""
"","https://mlsl.fandom.com/zh","萨兰庇护所 Wiki","zh","2022-09-05 07:32:37","DeanLeozaren","","",""
"","https://cyberpunk.fandom.com/zh","赛博朋克（Cyberpunk） Wiki","zh","2022-09-05 04:37:38","Chardon55","","",""
"","https://xiaoxuesheng.fandom.com/zh","小学生 Wiki","zh","2022-09-05 04:30:06","Nomemories0000","","",""
"","https://wush2209.fandom.com/zh","九班大泽乡 Wiki","zh","2022-09-05 03:15:12","Martian076","","",""
"","https://weiming902.fandom.com/zh","逐鹿九二班 Wiki","zh","2022-09-05 02:52:06","Martian076","","",""
"","https://a-note-from-chimaera.fandom.com/zh","A Note from Chimaera Wiki","zh","2022-09-04 21:24:21","Ludlow Lynx","","",""
"","https://kittencodemao.fandom.com/zh","源码编辑器 Wiki","zh","2022-09-04 11:49:18","IAmREGE","","",""
"","https://saintchlean.fandom.com/zh","尚清 Wiki","zh","2022-09-04 11:01:37","Hydrogen Sulfide","","",""
"","https://warriors-clan-dogblood-generator.fandom.com/zh","Warriors clan dogblood generator Wiki","zh","2022-09-04 06:38:34","HHoneymilk1234","","",""
"","https://monsters-and-mortals.fandom.com/zh","Monsters &amp; Mortals Wiki","zh","2022-09-04 02:28:31","Dsmilo","","",""
"","https://backroomsxiaogui.fandom.com/zh","小鬼和Backrooms营销号 Wiki","zh","2022-09-04 01:09:56","OmPt","","",""
"","https://randomisland.fandom.com/zh","RandomIsland Wiki","zh","2022-09-04 00:47:36","XuanSH","","",""
"","https://dia-dy.fandom.com/zh","登云百科 Wiki","zh","2022-09-03 13:31:26","香珠","","",""
