"$wgCityId","URL","$wgSitename","$wgContentLanguage","Date of creation","Founder name","WAC Project - PVT","ARC/WAC Project - WR/IVT","Remarks"
"","https://pm252.fandom.com/zh-hk","PM252 Wiki","zh-hk","2022-08-22 13:30:54","PM252","","",""
"","https://plkr.fandom.com/zh-hk","私人鐵路大典 Wiki","zh-hk","2022-08-14 10:54:28","PLKRAdmin","","",""
"","https://oxygenvito-fox-studio.fandom.com/zh-hk","Oxygen-Vito Fox Studio Wiki","zh-hk","2022-08-10 12:08:39","Oxygen-Vito Fox Studio","","",""
"","https://hkvtuberyt.fandom.com/zh-hk","Hkvtuber 排行榜 Wiki","zh-hk","2022-08-09 09:17:39","瓦突","","",""
"","https://ehkrbxtest.fandom.com/zh-hk","香港大典系列與Roblox跨Wiki系列之實驗室 Wiki","zh-hk","2022-08-08 13:24:18","S14105LF","","",""
"","https://roblox2bus.fandom.com/zh-hk","香港巴士第2虛擬城市(ROBLOX) Wiki","zh-hk","2022-08-06 14:34:09","Willho617","","",""
"","https://minecraft-update.fandom.com/zh-hk","Minecraft Update Wiki","zh-hk","2022-07-21 06:01:41","Yay20220503","","",""
"","https://meberdis-city.fandom.com/zh-hk","新港城 Wiki","zh-hk","2022-07-19 10:40:57","Octahex Runner","","",""
"","https://henduohao.fandom.com/zh-hk","Henduohao Wiki","zh-hk","2022-07-19 03:09:09","MartinZhong","","",""
"","https://hk-education.fandom.com/zh-hk","香港教育 Wiki","zh-hk","2022-07-18 04:58:27","NCui20","","",""
"","https://minecraft-survive.fandom.com/zh-hk","Minecraft Survive Wiki","zh-hk","2022-07-09 14:01:36","Yay20220503","","",""
"","https://hkwildplace.fandom.com/zh-hk","香港山澗海集 Wiki","zh-hk","2022-07-07 00:45:34","HaruhiW","","",""
"","https://hktv.fandom.com/zh-hk","Hktv Wiki","zh-hk","2022-07-06 03:14:35","Kenchan2002","","",""
"","https://hkdubbing.fandom.com/zh-hk","香港配音 Wiki","zh-hk","2022-07-05 13:55:00","Ben1230","","",""
"","https://worker-express-we.fandom.com/zh-hk","職工快運Worker Express Wiki","zh-hk","2022-07-02 07:59:25","Worker1225","","",""
"","https://worker-express.fandom.com/zh-hk","職工快運Worker Express Wiki","zh-hk","2022-07-02 06:38:09","Worker1225","","",""
"","https://east-point-city.fandom.com/zh-hk","東角市 East Point City Wiki","zh-hk","2022-06-16 06:31:14","Tytrd","","",""
